state;city;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Queensland;Darling Downs - Maranoa;261;249;256;300;320;306;307;298;287;268;266;254;222;203;192;191;169
Queensland;Central Queensland;215;256;251;315;305;306;326;295;261;212;256;235;216;194;182;193;222
Queensland;Queensland - Outback;153;152;181;249;265;269;248;265;290;324;328;306;297;302;321;325;330
Queensland;Sunshine Coast;193;259;266;293;309;284;288;299;272;264;304;299;267;252;241;238;283
Queensland;Wide Bay;316;368;355;433;423;411;417;411;368;368;383;352;315;321;282;298;290
Queensland;Mackay - Isaac - Whitsunday;138;152;152;193;159;155;160;156;130;134;143;141;115;106;109;112;114
Queensland;Townsville;1527;1656;1659;1821;1937;1977;1935;2036;2006;1952;2051;1955;1868;1857;1847;1790;1699
Queensland;Cairns;599;678;620;759;821;895;935;868;875;776;782;735;750;860;841;824;795
South Australia;Adelaide - Central and Hills;5172;4985;5077;5278;5640;6053;6132;6244;6279;6161;6228;5919;5951;6156;5950;5893;5956
South Australia;Adelaide - West;254;298;296;489;530;574;618;610;651;674;687;682;638;563;552;554;577
South Australia;Adelaide - South;152;234;224;257;261;233;242;226;213;188;160;154;143;237;174;170;180
South Australia;Adelaide - North;1738;1878;1992;2162;2301;2220;2222;2276;2427;2438;2336;2270;2182;2139;2025;2011;2038
South Australia;South Australia - South East;111;130;118;117;119;120;120;112;103;99;120;174;112;114;109;99;113
South Australia;Barossa - Yorke - Mid North;300;102;103;114;110;117;111;100;93;96;95;91;89;78;77;88;94
South Australia;South Australia - Outback;191;224;230;234;234;210;203;217;205;187;193;173;175;173;167;153;159
South Australia;Unknown;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Western Australia;Perth - Inner;5066;4376;4521;4868;5096;4960;4709;4593;4507;4231;4206;3837;3732;3955;3626;3597;3550
Western Australia;Perth - North West;162;239;236;266;242;211;231;242;233;398;534;694;693;699;636;657;607
